"","country_name","total_surveyed","map_region","total_effective","percent_eff"
"1","Afghanistan",1000,"Asia and Australia",774,0.774
"2","Albania",1000,"Europe",437,0.437
"3","Algeria",1000,"Middle East and North Africa",438,0.438
"4","Argentina",1000,"Americas",703,0.703
"5","Armenia",1000,"Asia and Australia",238,0.238
"6","Australia",1003,"Asia and Australia",719,0.716849451645065
"7","Austria",1000,"Europe",387,0.387
"8","Azerbaijan",1000,"Asia and Australia",461,0.461
"9","Bangladesh",1000,"Asia and Australia",915,0.915
"10","Belarus",1061,"Former Soviet Union",309,0.291234684260132
"11","Belgium",1004,"Europe",585,0.582669322709163
"12","Benin",1000,"Sub-Saharan Africa",530,0.53
"13","Bolivia",1000,"Americas",480,0.48
"14","Bosnia and Herzegovina",1000,"Europe",577,0.577
"15","Botswana",1002,"Sub-Saharan Africa",325,0.32435129740519
"16","Brazil",1000,"Americas",556,0.556
"17","Bulgaria",1001,"Former Soviet Union",320,0.31968031968032
"18","Burkina Faso",1000,"Sub-Saharan Africa",521,0.521
"19","Burundi",1000,"Sub-Saharan Africa",781,0.781
"20","Cambodia",1000,"Asia and Australia",523,0.523
"21","Cameroon",1000,"Sub-Saharan Africa",580,0.58
"22","Canada",1012,"Americas",570,0.563241106719368
"23","Chad",1000,"Sub-Saharan Africa",443,0.443
"24","Chile",1000,"Americas",585,0.585
"25","China",3649,"Asia and Australia",1643,0.450260345300082
"26","Colombia",1000,"Americas",576,0.576
"27","Comoros",1000,"Sub-Saharan Africa",726,0.726
"28","Costa Rica",1000,"Americas",721,0.721
"29","Croatia",1000,"Europe",436,0.436
"30","Cyprus",1011,"Europe",331,0.327398615232443
"31","Czech Republic",1000,"Former Soviet Union",562,0.562
"32","Denmark",1000,"Europe",570,0.57
"33","Dominican Republic",1000,"Americas",565,0.565
"34","Ecuador",1000,"Americas",635,0.635
"35","Egypt",1000,"Middle East and North Africa",858,0.858
"36","El Salvador",1000,"Americas",567,0.567
"37","Estonia",1000,"Europe",400,0.4
"38","Eswatini",1000,"Sub-Saharan Africa",563,0.563
"39","Ethiopia",1000,"Sub-Saharan Africa",847,0.847
"40","Finland",1000,"Europe",479,0.479
"41","France",1000,"Europe",296,0.296
"42","Gabon",1000,"Sub-Saharan Africa",492,0.492
"43","Georgia",1000,"Asia and Australia",517,0.517
"44","Germany",1000,"Europe",540,0.54
"45","Ghana",1000,"Sub-Saharan Africa",567,0.567
"46","Greece",1000,"Europe",511,0.511
"47","Guatemala",1000,"Americas",540,0.54
"48","Guinea",1000,"Sub-Saharan Africa",608,0.608
"49","Haiti",500,"Americas",292,0.584
"50","Honduras",1000,"Americas",663,0.663
"51","Hungary",1000,"Former Soviet Union",702,0.702
"52","Iceland",500,"Europe",360,0.72
"53","India",3000,"Asia and Australia",2346,0.782
"54","Indonesia",1000,"Asia and Australia",334,0.334
"55","Iran",1005,"Middle East and North Africa",594,0.591044776119403
"56","Iraq",1000,"Middle East and North Africa",623,0.623
"57","Ireland",1000,"Europe",644,0.644
"58","Israel",1010,"Middle East and North Africa",488,0.483168316831683
"59","Italy",1000,"Europe",531,0.531
"60","Ivory Coast",1000,"Sub-Saharan Africa",586,0.586
"61","Japan",1004,"Asia and Australia",138,0.137450199203187
"62","Jordan",1002,"Middle East and North Africa",721,0.719560878243513
"63","Kazakhstan",1000,"Asia and Australia",415,0.415
"64","Kenya",1000,"Sub-Saharan Africa",669,0.669
"65","Kuwait",1001,"Middle East and North Africa",607,0.606393606393606
"66","Kyrgyzstan",1000,"Asia and Australia",541,0.541
"67","Laos",1001,"Asia and Australia",387,0.386613386613387
